Wavelength (nm), Global Tilt (W m-2 nm-1), Flux (W m-2)
280.00, 4.730900e-23, 1.068404e-23
280.50, 1.230700e-21, 2.784318e-22
281.00, 5.689500e-21, 1.289479e-21
281.50, 1.566200e-19, 3.555980e-20
282.00, 1.194600e-18, 2.717098e-19
282.50, 4.543600e-18, 1.035267e-18
283.00, 1.845200e-17, 4.211760e-18
283.50, 3.536000e-17, 8.085354e-18
284.00, 7.267000e-16, 1.664590e-16
284.50, 2.485600e-15, 5.703576e-16
285.00, 8.014200e-15, 1.842208e-15
285.50, 4.261300e-14, 9.812551e-15
286.00, 1.368400e-13, 3.156551e-14
286.50, 8.382300e-13, 1.936964e-13
287.00, 2.736700e-12, 6.334944e-13
287.50, 1.090300e-11, 2.528236e-12
288.00, 6.233700e-11, 1.448012e-11
288.50, 1.716200e-10, 3.993442e-11
289.00, 5.626500e-10, 1.311505e-10
289.50, 2.074900e-09, 4.844840e-10
290.00, 6.016800e-09, 1.407334e-09
290.50, 1.378300e-08, 3.229413e-09
291.00, 3.505200e-08, 8.226962e-09
291.50, 1.091300e-07, 2.565762e-08
292.00, 2.683000e-07, 6.318838e-08
292.50, 4.268500e-07, 1.007012e-07
293.00, 8.646600e-07, 2.043368e-07
293.50, 2.270700e-06, 5.375286e-07
294.00, 4.174400e-06, 9.898630e-07
294.50, 6.591100e-06, 1.565586e-06
295.00, 1.229000e-05, 2.924204e-06
295.50, 2.782600e-05, 6.631961e-06
296.00, 4.790400e-05, 1.143661e-05
296.50, 7.134500e-05, 1.706169e-05
297.00, 9.680000e-05, 2.318812e-05
297.50, 1.860800e-04, 4.464989e-05
298.00, 2.898800e-04, 6.967359e-05
298.50, 3.578900e-04, 8.616435e-05
299.00, 4.921100e-04, 1.186771e-04
299.50, 8.606800e-04, 2.079085e-04
300.00, 1.020500e-03, 2.469267e-04
300.50, 1.245000e-03, 3.017502e-04
301.00, 1.930000e-03, 4.685517e-04
301.50, 2.691400e-03, 6.544843e-04
302.00, 2.920900e-03, 7.114712e-04
302.50, 4.284000e-03, 1.045222e-03
303.00, 7.094500e-03, 1.733797e-03
303.50, 8.979500e-03, 2.198085e-03
304.00, 9.470100e-03, 2.321998e-03
304.50, 1.195300e-02, 2.935607e-03
305.00, 1.646300e-02, 4.049883e-03
305.50, 1.871900e-02, 4.612406e-03
306.00, 1.857700e-02, 4.584909e-03
306.50, 2.110800e-02, 5.218086e-03
307.00, 2.784900e-02, 6.895753e-03
307.50, 3.563500e-02, 8.838032e-03
308.00, 3.783700e-02, 9.399421e-03
308.50, 4.143000e-02, 1.030870e-02
309.00, 4.053400e-02, 1.010210e-02
309.50, 4.330600e-02, 1.081042e-02
310.00, 5.093900e-02, 1.273637e-02
310.50, 6.554000e-02, 1.641352e-02
311.00, 8.292200e-02, 2.080003e-02
311.50, 8.408000e-02, 2.112440e-02
312.00, 9.337600e-02, 2.349760e-02
312.50, 9.898400e-02, 2.494875e-02
313.00, 1.073300e-01, 2.709562e-02
313.50, 1.075700e-01, 2.719959e-02
314.00, 1.196900e-01, 3.031246e-02
314.50, 1.306000e-01, 3.312818e-02
315.00, 1.362500e-01, 3.461631e-02
